
pl_name,pl_orbsmax,pl_rade,st_rad,sy_dist
11 Com b,1.178000,12.200,13.76,93.1846000
11 UMi b,1.530000,12.300,29.79,125.3210000
14 And b,0.775000,13.100,11.55,75.4392000
14 Her b,2.774000,12.600,0.93,17.9323000
16 Cyg B b,1.660000,13.500,1.13,21.1397000
17 Sco b,1.450000,12.900,25.92,124.9530000
18 Del b,2.476000,12.500,8.80,76.2220000
1RXS J160929.1-210524 b,330.000000,18.647,1.31,139.1350000
24 Boo b,0.194000,13.900,12.19,95.9863000
24 Sex b,1.333000,13.400,4.90,72.0691000
24 Sex c,2.080000,13.900,4.90,72.0691000
2M0437 b,118.000000,13.000,0.84,128.4840000
2MASS J01033563-5515561 AB b,84.000000,12.300,,47.2000000
2MASS J01225093-2439505 b,52.000000,11.209,0.37,33.8281000
2MASS J02192210-3925225 b,156.000000,16.141,0.28,40.0896412
2MASS J0249-0557 c,1950.000000,12.400,0.32,66.0613000
2MASS J03590986+2009361 b,572.000000,12.200,0.29,117.4350000
2MASS J04414489+2301513 b,15.000000,12.600,0.23,120.4239870
2MASS J11011926-7732383 b,266.000000,11.900,,
2MASS J11550485-7919108 b,587.000000,12.100,0.60,100.8620000
2MASS J12073346-3932539 b,55.000000,12.900,0.22,64.3080000
2MASS J19383260+4603591 b,0.920000,13.400,0.20,396.3320000
2MASS J21252752-8138278 b,7493.000000,12.400,0.67,34.1154000
2MASS J22362452+4751425 b,230.000000,12.300,0.64,69.5737000
30 Ari B b,0.990000,12.300,1.41,44.6570000
4 UMa b,0.877000,12.600,18.11,73.4603000
42 Dra b,1.190000,13.000,22.03,90.6545000
47 UMa b,2.100000,13.200,1.21,13.7967000
47 UMa c,3.600000,14.200,1.21,13.7967000
47 UMa d,11.600000,13.500,1.21,13.7967000
51 Eri b,13.200000,13.400,1.49,29.7575000
51 Peg b,0.052700,14.300,1.18,15.4614000
55 Cnc b,0.113400,13.900,0.94,12.5855000
55 Cnc c,0.237300,8.510,0.94,12.5855000
55 Cnc d,5.957000,13.000,0.94,12.5855000
55 Cnc e,0.015440,1.875,0.94,12.5855000
55 Cnc f,0.770800,7.590,0.94,12.5855000
6 Lyn b,2.028000,13.400,4.94,54.6599000
61 Vir b,0.050201,2.110,0.96,8.5033200
61 Vir c,0.217500,4.460,0.96,8.5033200
61 Vir d,0.476000,5.110,0.96,8.5033200
7 CMa b,1.758000,13.400,4.87,19.8101000
7 CMa c,2.153000,13.900,4.87,19.8101000
70 Vir b,0.481000,12.600,1.89,17.9011000
75 Cet b,1.912000,13.300,10.38,82.9613000
75 Cet c,3.929000,13.900,10.38,82.9613000
8 UMi b,0.490000,13.600,10.30,162.5520000
81 Cet b,2.104000,13.100,11.21,101.2600000
91 Aqr b,0.700000,13.100,11.00,44.0304000
AB Aur b,93.900000,12.500,2.96,162.1270000
AB Pic b,260.000000,12.300,1.00,50.0475000
AF Lep b,8.400000,13.100,1.25,26.8564000
AU Mic b,0.064500,3.957,0.82,9.7221000
AU Mic c,0.110100,3.240,0.82,9.7221000
AU Mic d,,1.020,0.74,9.7221000
BD+03 2562 b,1.300000,12.700,32.35,1070.6300000
BD+14 4559 b,0.780000,13.800,0.86,49.3520000
BD+15 2375 b,0.576000,13.800,8.95,768.0450000
BD+15 2940 b,0.539000,13.700,14.70,426.4200000
BD+20 2457 b,1.450000,12.100,49.00,1539.7100000
BD+20 2457 c,2.010000,12.400,49.00,1539.7100000
BD+20 274 b,1.300000,13.000,17.30,1322.5100000
BD+20 594 b,0.241000,2.578,1.08,179.4610000
BD+45 564 b,0.830000,13.600,0.81,53.6220000
BD+48 738 b,1.000000,13.900,11.00,871.4930000
BD+48 740 b,1.700000,13.500,10.33,666.5890000
BD+49 828 b,4.200000,13.500,7.60,442.0420000
BD+55 362 b,0.780000,14.000,0.90,52.5697000
BD+60 1417 b,1662.000000,14.684,0.80,44.9543000
